VP_Count,AP_Count,Attack_Type,Num_Macro_Runs,Num_Sim_Runs_Per_TH,Cores_M,TP_Threshold,Avg_TH_Original,Successful_Runs_Orig,Avg_TH_Augmented,Successful_Runs_Aug
3,8,POSTERIOR,1000,1000,8,0.05000000,0.99000000,1000,0.88046876,1000
3,8,PINCER_DUAL,1000,1000,8,0.05000000,0.99800000,1000,0.97132222,1000
3,8,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,0.99997229,1000
3,9,ANTERIOR,1000,1000,8,0.05000000,0.97100000,1000,0.90604403,1000
3,9,POSTERIOR,1000,1000,8,0.05000000,0.99800000,1000,0.91693129,1000
3,9,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.97985489,1000
3,9,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
3,10,ANTERIOR,1000,1000,8,0.05000000,0.98800000,1000,0.92719285,1000
3,10,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.93006900,1000
3,10,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.98364633,1000
3,10,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
3,11,ANTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.93659906,1000
3,11,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.94878626,1000
3,11,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.98908862,1000
3,11,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
4,1,ANTERIOR,1000,1000,8,0.05000000,0.22100000,1000,0.27790192,1000
4,1,POSTERIOR,1000,1000,8,0.05000000,0.53600000,1000,0.28448289,1000
4,1,PINCER_DUAL,1000,1000,8,0.05000000,0.61700000,1000,0.42405149,1000
4,1,CONCURRENT,1000,1000,8,0.05000000,0.73400000,1000,0.66657649,1000
4,2,ANTERIOR,1000,1000,8,0.05000000,0.38300000,1000,0.50737104,1000
4,2,POSTERIOR,1000,1000,8,0.05000000,0.78800000,1000,0.48895402,1000
4,2,PINCER_DUAL,1000,1000,8,0.05000000,0.86700000,1000,0.69273659,1000
4,2,CONCURRENT,1000,1000,8,0.05000000,0.94300000,1000,0.91081270,1000
4,3,ANTERIOR,1000,1000,8,0.05000000,0.55700000,1000,0.64757632,1000
4,3,POSTERIOR,1000,1000,8,0.05000000,0.89900000,1000,0.63923205,1000
4,3,PINCER_DUAL,1000,1000,8,0.05000000,0.94300000,1000,0.82916576,1000
4,3,CONCURRENT,1000,1000,8,0.05000000,0.97500000,1000,0.96956129,1000
4,4,ANTERIOR,1000,1000,8,0.05000000,0.68700000,1000,0.74938128,1000
4,4,POSTERIOR,1000,1000,8,0.05000000,0.95800000,1000,0.75399305,1000
4,4,PINCER_DUAL,1000,1000,8,0.05000000,0.97900000,1000,0.90273683,1000
4,4,CONCURRENT,1000,1000,8,0.05000000,0.99800000,1000,0.99456411,1000
4,5,ANTERIOR,1000,1000,8,0.05000000,0.78400000,1000,0.82959089,1000
4,5,POSTERIOR,1000,1000,8,0.05000000,0.98400000,1000,0.82805818,1000
4,5,PINCER_DUAL,1000,1000,8,0.05000000,0.99500000,1000,0.94589024,1000
4,5,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,0.99902299,1000
4,6,ANTERIOR,1000,1000,8,0.05000000,0.85900000,1000,0.87522761,1000
4,6,POSTERIOR,1000,1000,8,0.05000000,0.99200000,1000,0.87440746,1000
4,6,PINCER_DUAL,1000,1000,8,0.05000000,0.99700000,1000,0.97424962,1000
4,6,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,0.99995941,1000
4,7,ANTERIOR,1000,1000,8,0.05000000,0.92100000,1000,0.91250440,1000
4,7,POSTERIOR,1000,1000,8,0.05000000,0.99400000,1000,0.91516456,1000
